Timestamp,1. I think that I would like to use this system frequently.,2. I found the system unnecessarily  complex.,3. I thought the system was easy to use.,4. I think that I would need the support of a technical person to be able to use this system.,5. I found the various functions in this system were fully integrated.,6. I thought there was too much inconsistency in this system.,7. I would imagine that most people would learn to use this system very quickly.,8. I found the system very awkward to use.,9. I felt very confident using the system.,10. I needed to learn a lot of things before I could get going with this system.
11/20/2025 10:11:34,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Strongly Agree,Disagree,Agree,Disagree
11/20/2025 13:31:36,Strongly Agree,Disagree,Agree,Disagree,Agree,Strongly Disagree,Neutral,Strongly Disagree,Agree,Disagree
11/20/2025 13:39:36,Agree,Disagree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Disagree,Agree,Disagree
11/20/2025 13:58:33,Agree,Strongly Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree
11/20/2025 15:10:56,Agree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Strongly Agree
11/20/2025 15:37:39,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Neutral,Agree
11/20/2025 23:38:11,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Disagree
11/21/2025 13:37:01,Agree,Disagree,Agree,Neutral,Agree,Strongly Disagree,Strongly Agree,Disagree,Agree,Disagree
11/23/2025 10:32:00,Agree,Disagree,Agree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree
11/24/2025 12:57:11,Agree,Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,Agree,Disagree
